roundid,formula1,formula2,formula3,formula4,result
1702976219.3049254,B,A,A,B,Player A
1703075507.5481787,B,B,Null,B,Player A
1704299168.0889652,B,A,B,B,Player A
1703106674.9169679,B,A,Null,B,Player A
1703763352.2992594,B,B,Null,B,Player B
1703093220.6030324,A,A,Null,B,Player A
1703506014.7259243,B,B,Null,B,Player A
1703463149.801378,B,B,Null,B,Player B
1703611884.510941,B,A,B,B,Player A
1702835456.8095748,B,A,Null,B,Player B
1703986103.984362,B,A,Null,B,Player A
1703674890.5223048,B,A,Null,B,Player B
1704118882.222225,B,A,B,B,Player A
1704324760.7902715,B,A,Null,B,Player B
1703187794.9623137,B,A,Null,B,Player B
1703850276.5174487,B,B,Null,B,Player B
1703689867.0311491,B,A,Null,B,Player A
1702918109.9832466,B,A,Null,A,Player A
1704208323.2446003,B,B,Null,B,Player B
1704004651.8092844,B,A,Null,A,Player B
1703731534.0736592,B,B,Null,B,Player A
1703598940.782356,B,A,B,B,Player A
1704306431.0444868,B,A,Null,B,Player B
1704097762.7843769,B,A,B,B,Player B
1703987721.7523391,B,A,Null,B,Player A
1703723080.9294987,B,A,B,B,Player B
1703872830.0933363,B,B,Null,B,Player A
1703474921.8850632,B,B,Null,B,Player B
1704166140.547411,B,A,Null,A,Player A
1703976405.7425647,B,B,Null,B,Player B
1703898554.5842538,B,B,Null,B,Player B
1704054071.655351,A,A,Null,B,Player B
1703612981.1497257,B,A,Null,B,Player B
1702852543.232032,B,B,Null,B,Player B
1704074355.2454965,B,A,A,B,Player B
1703237728.7551408,A,A,Null,B,Player B
1704173437.9614768,B,A,Null,B,Player B
1703626058.0937204,B,A,Null,B,Player B
1702957006.7463021,B,A,B,B,Player B
1703034284.1734016,B,A,B,B,Player B
1703456414.960379,B,A,Null,B,Player B
1703670561.2319477,B,A,Null,A,Player B
1702921886.5122192,B,A,B,B,Player B
1704219316.3537872,B,B,Null,B,Player B
1703156001.7628508,B,A,Null,B,Player A
1702884558.1540627,B,B,Null,B,Player A
1703906908.3789096,B,A,B,B,Player B
1703650812.9050934,B,B,Null,B,Player A
1703513545.3929682,B,A,Null,B,Player A
1703213375.6292028,B,A,Null,B,Player B
1703095148.684668,A,A,Null,B,Player A
1704087382.1218693,B,A,Null,B,Player A
1703278561.8432426,B,A,Null,B,Player B
1703126720.7525232,B,A,B,B,Player B
1703004395.8672633,A,A,Null,A,Player B
1704171297.0548923,B,A,A,B,Player A
1703125084.0385497,B,A,Null,B,Player B
1703226174.929388,B,A,Null,A,Player A
1704209151.2449868,B,A,Null,B,Player B
1703687810.323876,B,B,Null,B,Player A
1702853943.30574,B,B,Null,B,Player A
1703579394.3197098,B,B,Null,B,Player B
1703311224.2932253,B,A,Null,B,Player A
1704219859.3736732,B,A,A,B,Player A
1703952850.4590168,B,A,Null,B,Player B
1703078434.2541568,B,A,Null,B,Player A
1703217315.8500693,A,A,Null,B,Player A
1703264748.5880098,B,A,B,B,Player A
1703732551.9674606,B,A,Null,B,Player A
1703809304.7881684,A,A,Null,B,Player A
1703785056.1495454,B,B,Null,B,Player B
1703618731.8244724,B,A,Null,B,Player B
1702926830.2814856,B,B,Null,B,Player B
1703074820.8390505,B,A,B,B,Player B
1703260288.236692,B,A,B,B,Player B
1703180025.5164096,B,B,Null,B,Player B
1703565122.140954,B,A,B,B,Player A
1704067324.6550047,B,A,B,B,Player A
1704245248.4087026,A,A,Null,B,Player B
1703921314.4600568,B,A,Null,B,Player B
1703715143.8686624,B,A,Null,B,Player A
1704192814.33358,B,B,Null,B,Player A
1703649720.3856926,A,A,Null,B,Player B
1703767759.8772264,B,A,Null,B,Player A
1703916899.4023314,B,A,A,B,Player A
1704326123.2469394,B,B,Null,B,Player B
1704080389.017114,B,B,Null,B,Player A
1703863366.1821644,A,A,Null,A,Player B
1703298073.32875,A,A,Null,B,Player B
1703114289.40371,B,A,Null,B,Player B
1703461602.6954935,B,A,Null,B,Player B
1702965097.463657,A,A,Null,B,Player B
1704331831.65915,A,A,Null,B,Player B
1703754974.6412082,B,A,Null,B,Player A
1703403001.677338,B,B,Null,B,Player B
1703265493.6719296,B,A,A,B,Player B
1702701824.0541675,B,A,Null,B,Player B
1702645208.10763,B,A,B,B,Player B
1703936101.1526184,B,A,Null,B,Player A
1703530533.9730556,B,A,A,B,Player B
1702983970.032583,B,B,Null,B,Player A
1704078362.3882256,B,A,B,B,Player B
1703764738.3336704,B,A,Null,B,Player B
1703834437.782954,B,A,A,B,Player A
1703114455.678175,A,A,Null,B,Player A
1704017462.5120244,A,A,Null,A,Player B
1703261790.637462,B,A,Null,B,Player A
1703507184.1528287,B,A,B,B,Player B
1704248767.5086942,B,A,Null,B,Player B
1704293161.1520894,B,B,Null,B,Player A
1704054745.6008067,B,B,Null,B,Player B
1703919965.7650023,B,B,Null,B,Player A
1703154122.800201,B,A,B,B,Player B
1703254755.1503096,B,A,A,B,Player A
1704313298.781178,B,B,Null,B,Player A
1702852634.6084685,B,B,Null,B,Player A
1704105687.9771922,B,A,Null,A,Player A
1703823810.948871,B,A,Null,B,Player B
1704036214.2243223,B,B,Null,B,Player A
1702971721.0418403,B,B,Null,B,Player A
1704007223.5990565,B,B,Null,B,Player B
1704068757.3944714,B,A,A,B,Player B
1704058919.142206,B,A,Null,B,Player B
1703265744.3804243,B,A,B,B,Player A
1702788001.1089685,B,B,Null,B,Player A
1703657439.6466208,B,A,Null,B,Player B
1702950937.8103604,B,A,Null,B,Player A
1703666414.589264,B,A,Null,B,Player B
1704280752.544871,B,A,Null,B,Player B
1704276150.9294646,B,A,Null,B,Player A
1703252472.038107,B,B,Null,B,Player A
1704088115.3351355,A,A,Null,A,Player A
1703440019.2340248,B,A,Null,B,Player B
1702933835.663719,A,A,Null,B,Player A
1704221856.0756657,B,A,Null,B,Player B
1704182366.038561,B,A,B,B,Player B
1704353303.468133,B,A,Null,A,Player A
1703898223.1798563,B,B,Null,B,Player A
1703632235.979417,A,A,Null,B,Player B
1703286533.7425957,A,A,Null,B,Player A
1702823368.865195,B,A,Null,B,Player B
1703166398.1578424,B,A,Null,B,Player A
1704235592.6088727,B,B,Null,B,Player B
1703811426.9288094,B,A,B,B,Player A
1703012732.8014114,B,B,Null,B,Player B
1704038083.8801043,B,B,Null,B,Player A
1703821756.084055,B,A,Null,A,Player B
1703728491.2032769,B,A,A,B,Player A
1703461342.750901,B,A,B,B,Player B
1704283802.288929,B,A,B,B,Player B
1703938950.8446622,B,A,Null,A,Player A
1703097210.7330961,B,B,Null,B,Player B
1704162136.7466922,B,A,Null,A,Player A
1702828653.6694736,B,A,A,B,Player B
1703867900.7328453,B,A,Null,B,Player B
1703020483.6988554,B,B,Null,B,Player A
1704148347.4311566,B,A,Null,A,Player B
1703908202.187081,B,A,B,B,Player A
1703520995.522339,A,A,Null,B,Player B
1704060176.483597,B,A,Null,B,Player B
1704108303.954132,B,B,Null,B,Player A
1703973081.3807256,B,B,Null,B,Player A
1703088983.541142,B,A,Null,B,Player B
1702934169.850326,B,A,Null,B,Player A
1703553660.5105093,B,A,Null,B,Player A
1704317733.5858283,B,A,A,B,Player A
1703500826.3533096,B,A,B,B,Player A
1703311495.9439697,A,A,Null,B,Player A
1703742274.168494,B,B,Null,B,Player A
1703489571.7041767,B,A,A,B,Player B
1703013395.0696423,B,A,A,B,Player A
1704352797.1884375,A,A,Null,B,Player B
1704158555.2810447,B,A,A,B,Player B
1703764823.7873337,B,A,Null,B,Player A
1702936403.3654034,B,B,Null,B,Player A
1704030356.7744985,B,B,Null,B,Player A
1703725572.9046419,B,A,Null,B,Player A
1703353045.798642,B,A,Null,B,Player A
1704018877.5018594,B,A,A,B,Player B
1704285254.9439504,B,A,Null,B,Player B
1704208196.1059568,B,A,Null,B,Player B
1704264587.8446567,B,B,Null,B,Player A
1703650381.5289252,B,B,Null,B,Player A
1704208736.632625,B,B,Null,B,Player A
1702838622.587108,A,A,Null,B,Player A
1702701234.7176113,B,A,Null,B,Player A
1703682642.676212,B,A,B,B,Player A
1703675288.3617334,B,A,B,B,Player A
1704331564.2030368,A,A,Null,B,Player B
1704318934.2359538,B,B,Null,B,Player A
1703585258.301868,B,A,Null,B,Player B
1704181810.3951316,B,B,Null,B,Player B
1702847408.3296115,B,A,Null,B,Player B
1703805296.823852,B,B,Null,B,Player B
1703995176.8252788,B,A,Null,A,Player A
1702849257.9560738,B,A,A,B,Player B
1703499389.2256312,B,B,Null,B,Player B
1704111500.5199578,B,A,B,B,Player A
1703613400.8519313,B,A,Null,B,Player A
1703576690.234952,B,B,Null,B,Player A
1703853711.3094485,B,A,A,B,Player A
1703675931.7356985,B,A,A,B,Player B
1703068123.5474322,B,A,Null,A,Player B
1703570870.674187,B,B,Null,B,Player B
1703383054.731716,B,B,Null,B,Player A
1702907401.6697326,B,A,Null,B,Player A
1703791336.8877325,B,B,Null,B,Player A
1703230809.0073805,B,B,Null,B,Player B
1703558082.407115,B,A,Null,B,Player B
1703601920.30449,B,A,B,B,Player B
1703555596.7992637,B,A,Null,B,Player A
1703183697.6723778,B,A,A,B,Player A
1702839279.1418495,A,A,Null,B,Player A
1703029199.274461,B,A,A,B,Player A
1703598757.3470714,B,A,A,B,Player A
1704252170.484688,B,A,Null,A,Player B
1703075669.6413257,B,A,Null,B,Player A
1703820650.51573,B,A,Null,B,Player A
1704184775.8223073,A,A,Null,B,Player A
1703558241.736284,B,A,Null,B,Player B
1704230403.0571506,B,A,Null,B,Player B
1703179452.671938,B,B,Null,B,Player A
1703864204.4056447,B,A,B,B,Player B
1702890867.686708,B,A,Null,B,Player B
1704287029.37492,B,B,Null,B,Player A
1703154035.6218622,B,A,Null,A,Player B
1702981158.1427238,B,B,Null,B,Player A
1702957813.504388,B,A,Null,A,Player A
1703603699.3468914,B,A,A,B,Player A
1703835834.0336392,B,B,Null,B,Player A
1703904979.4469466,B,A,Null,A,Player B
1703008226.6359625,B,A,B,B,Player A
1703258418.3400002,B,A,Null,B,Player B
1704098675.635232,B,A,A,B,Player A
1703740221.3841982,B,A,Null,B,Player B
1702986641.6375673,B,A,Null,B,Player B
1703107854.724856,B,B,Null,B,Player A
1703761273.6316466,B,A,Null,A,Player A
1703628146.972582,A,A,Null,B,Player A
1702807834.051984,B,A,Null,B,Player B
1703920516.6244493,B,A,Null,B,Player A
1703024673.5521011,A,A,Null,A,Player A
1703772501.1644416,B,B,Null,B,Player A
1704175090.1313539,B,A,Null,B,Player A
1703627169.5628872,B,B,Null,B,Player B
1703685805.417589,B,B,Null,B,Player A
1703090206.2266243,B,A,B,B,Player B
1704061867.0290105,B,B,Null,B,Player B
1703985060.8584776,B,A,B,B,Player A
1703588696.9083302,B,A,Null,B,Player A
1704174245.5641923,B,B,Null,B,Player A
1702940451.3047626,B,A,Null,B,Player A
1703464006.1032662,A,A,Null,B,Player A
1703285070.8732064,B,A,Null,B,Player A
1703781096.3933282,B,A,Null,B,Player B
1703267004.2645068,A,A,Null,B,Player B
1703186321.4618459,B,A,Null,B,Player B
1702645813.0965803,B,A,A,B,Player A
1703858696.9404082,B,A,Null,B,Player A
1703805984.8722317,B,A,Null,B,Player B
1703966181.8390129,B,B,Null,B,Player A
1704055961.7638633,B,A,Null,A,Player A
1703969839.0796714,B,A,A,B,Player A
1703570719.083417,A,A,Null,B,Player B
1703155827.5800126,B,A,Null,B,Player B
1704126221.9322257,B,A,Null,B,Player B
1703584717.520257,A,A,Null,B,Player A
1703416197.553458,B,A,A,B,Player A
1703882937.8197808,B,A,Null,B,Player B
1704042894.5072424,B,A,Null,B,Player B
1704177685.0755632,B,B,Null,B,Player A
1703736283.1731355,B,A,Null,A,Player A
1703909613.7873223,B,A,A,B,Player B
1703849294.3546126,B,A,Null,B,Player B
1703288400.9929638,B,A,B,B,Player A
1703888689.4886947,B,B,Null,B,Player B
1703679584.9106035,B,A,Null,B,Player B
1704070921.2848637,B,A,Null,B,Player B
1703629526.027783,B,A,B,B,Player B
1703671104.9654896,B,A,B,B,Player A
1703660784.6333768,A,A,Null,B,Player A
1703314252.5771658,B,B,Null,B,Player B
1703097473.7706397,A,A,Null,B,Player B
1702831520.6850722,A,A,Null,A,Player A
1703306382.008235,B,A,Null,B,Player B
1703898468.9072974,B,A,B,B,Player A
1703999453.4992158,B,A,A,B,Player B
1704188278.9910772,B,B,Null,B,Player B
1702929757.8156621,B,A,A,B,Player A
1704031025.1800637,B,A,Null,B,Player B
1703072263.2091181,B,B,Null,B,Player A
1703749957.5920475,A,A,Null,B,Player A
1704069761.761795,B,A,Null,B,Player B
1703698076.456903,B,B,Null,B,Player B
1703095456.4281588,B,A,Null,A,Player A
1703092295.291956,B,A,A,B,Player A
1703314738.1564329,B,B,Null,B,Player B
1702933349.3925917,B,A,Null,B,Player B
1703214672.6251676,B,B,Null,B,Player B
1703335744.256172,B,A,B,B,Player A
1703173610.9955094,B,B,Null,B,Player A
1704077003.876524,B,A,Null,B,Player B
1703213627.3698199,B,A,Null,A,Player A
1704008810.5233989,B,B,Null,B,Player A
1703556592.4962037,B,A,Null,B,Player A
1703907842.8350337,B,A,Null,B,Player A
1703067078.55799,B,A,Null,A,Player A
1702996303.414251,B,A,Null,B,Player B
1703584627.167935,B,A,Null,B,Player A
1704187092.099468,B,A,Null,B,Player A
1703689361.6743708,B,A,Null,B,Player B
1703124920.2268603,B,A,B,B,Player B
1703153666.834728,A,A,Null,B,Player A
1703528437.4547956,B,A,A,B,Player B
1703847625.9245875,B,A,Null,B,Player B
1704305674.1499941,B,B,Null,B,Player B
1704296679.1741962,B,A,Null,B,Player A
1704161542.22959,B,A,Null,B,Player B
1704056537.5180516,B,A,A,B,Player B
1703972414.7653422,B,A,Null,A,Player A
1704070011.6802034,B,A,A,B,Player A
1703776387.4961097,B,A,Null,B,Player A
1703570002.0663753,B,A,Null,B,Player B
1704153230.1425226,B,A,Null,B,Player A
1702846291.6614108,B,A,Null,B,Player B
1704181444.5415964,A,A,Null,B,Player A
1702952043.1230867,B,B,Null,B,Player B
1702942123.1455958,B,B,Null,B,Player B
1703166488.3844266,A,A,Null,A,Player A
1704133452.9199142,B,A,Null,B,Player A
1702824041.353584,B,A,Null,B,Player B
1703821946.6436224,A,A,Null,B,Player A
1703577027.8399394,B,B,Null,B,Player A
1703468084.6059167,B,A,B,B,Player A
1704029926.947994,B,A,B,B,Player A
1703864289.9642284,B,A,Null,B,Player A
1703303347.933537,B,A,Null,B,Player B
1703833627.986006,B,A,Null,B,Player B
1703759328.2575388,A,A,Null,A,Player B
1702899517.921339,A,A,Null,B,Player B
1702847942.7554038,B,A,B,B,Player B
1703648280.4203696,B,A,B,B,Player B
1703041484.5041378,B,A,B,B,Player B
1702909666.4904206,A,A,Null,B,Player A
1702901856.3765464,B,A,Null,B,Player A
1704123710.714416,B,B,Null,B,Player A
1702861954.7249627,B,B,Null,B,Player A
1703314985.4176984,B,A,Null,B,Player A
1704313781.873784,B,A,Null,B,Player B
1703079740.9554343,B,A,B,B,Player B
1703944880.1407912,B,A,B,B,Player A
1703894313.4931786,B,A,Null,B,Player A
1703807109.3012764,B,A,Null,B,Player B
1703733143.7260485,B,B,Null,B,Player A
1703388208.0598981,B,A,B,B,Player B
1703747946.5606594,B,A,B,B,Player B
1703633240.775547,B,A,B,B,Player A
1703445736.2649484,B,A,Null,B,Player B
1702821516.240969,B,B,Null,B,Player A
1704144172.2026205,B,B,Null,B,Player B
1703049490.3967414,B,B,Null,B,Player A
1703053171.867833,A,A,Null,A,Player A
1703607683.9479845,B,B,Null,B,Player A
1704052953.4527662,B,A,Null,B,Player A
1704150889.8958204,B,A,Null,B,Player B
1704247020.3907995,B,A,Null,B,Player B
1704175674.1722949,B,B,Null,B,Player A
1703761878.1157784,B,A,Null,B,Player B
1702867130.2438607,B,B,Null,B,Player B
1703323635.9437716,B,A,A,B,Player B
1703071283.398266,B,A,Null,A,Player B
1703885929.458397,B,A,Null,B,Player A
1702972648.696673,B,A,Null,B,Player B
1702792227.0067255,B,A,Null,A,Player A
1702881451.6490238,B,A,A,B,Player A
1703168432.798924,B,A,Null,B,Player A
1703921075.4032497,A,A,Null,B,Player A
1703410986.4732158,B,A,B,B,Player A
1703054814.464935,B,A,Null,B,Player A
1704314677.2811828,B,A,Null,B,Player B
1703288117.834206,B,A,Null,B,Player B
1703746802.2425056,B,A,B,B,Player A
1703041011.8660693,A,A,Null,B,Player B
1703917543.6686697,B,A,Null,B,Player B
1703595254.3052163,B,B,Null,B,Player A
1704053464.3225224,A,A,Null,B,Player B
1702953821.3640163,B,B,Null,B,Player A
1703229316.7654407,B,B,Null,B,Player A
1703842673.886004,B,A,Null,B,Player B
1703060215.039187,B,A,A,B,Player B
1704236108.2270882,A,A,Null,B,Player B
1703575343.704305,B,B,Null,B,Player A
1704270120.9148023,B,A,B,B,Player B
1703040275.3616934,B,A,A,B,Player B
1703320757.335054,B,A,A,B,Player A
1703001458.9485078,B,B,Null,B,Player B
1704234142.0584702,A,A,Null,B,Player B
1703405381.4826455,B,A,Null,A,Player A
1703043042.7755857,B,A,Null,B,Player B
1704339426.1392124,A,A,Null,B,Player A
1703617291.4080424,B,A,Null,B,Player B
1703458519.2815795,A,A,Null,B,Player B
1703031516.186923,B,B,Null,B,Player A
1704166476.7877855,B,A,Null,A,Player B
1704022534.730585,B,B,Null,B,Player A
1703672734.919346,B,A,Null,B,Player B
1703898641.9818544,B,A,Null,A,Player B
1704221941.0718713,B,A,Null,B,Player B
1703915765.606814,B,B,Null,B,Player B
1703836656.0961988,B,A,Null,A,Player B
1703001800.43464,A,A,Null,B,Player A
1703961047.1867096,B,B,Null,B,Player B
1703637617.8681264,B,A,Null,B,Player B
1703511112.385187,B,B,Null,B,Player B
1702971903.5495381,B,B,Null,B,Player B
1704357242.9172678,B,A,B,B,Player A
1703757452.1234276,B,B,Null,B,Player A
1703362683.408759,B,A,Null,B,Player B
1703788102.88518,B,A,B,B,Player B
1704042221.2823293,B,A,Null,B,Player B
1703848732.1787622,B,A,Null,A,Player B
1703056293.725918,B,A,A,B,Player A
1704227061.4548368,B,A,Null,B,Player A
1704099435.6192129,B,A,A,B,Player B
1703514824.173579,B,A,Null,B,Player B
1703726728.6058736,B,A,B,B,Player A
1702867321.9181232,B,B,Null,B,Player B
1704003084.22745,B,A,B,B,Player B
1703606173.2331607,B,A,A,B,Player A
1703926704.728833,B,A,Null,A,Player B
1702974404.9085913,B,A,Null,B,Player A
1702833408.9075274,B,A,B,B,Player B
1703465112.8746014,B,B,Null,B,Player A
1703311039.2222307,B,A,A,B,Player B
1704018127.4821262,B,A,Null,B,Player A
1704006205.5612838,B,B,Null,B,Player A
1704344993.7876298,B,A,A,B,Player A
1702641699.0081475,A,A,Null,B,Player A
1703229500.140468,A,A,Null,B,Player B
1702946132.7552745,B,B,Null,B,Player B
1703438699.3961873,A,A,Null,B,Player A
1702788959.8175561,B,A,A,B,Player A
1703015161.0034091,B,A,Null,B,Player A
1704015188.2161052,B,A,B,B,Player A
1703600382.1807876,B,A,B,B,Player B
1703367590.0317917,B,A,Null,B,Player B
1704198459.6101081,B,A,A,B,Player B
1704155706.7436738,B,A,B,B,Player A
1704065294.1083238,B,B,Null,B,Player A
1703995090.632358,B,B,Null,B,Player B
1703754002.990697,B,A,Null,B,Player B
1702820353.1026974,B,A,A,B,Player A
1703296886.9846008,A,A,Null,B,Player B
1702895959.70232,B,A,A,B,Player B
1703624362.7829602,A,A,Null,B,Player B
1704172478.303742,B,A,Null,B,Player A
1703627914.067724,B,A,Null,B,Player A
1704223825.6928706,B,A,Null,B,Player A
1703367750.090459,B,A,Null,B,Player A
1704267067.6382236,B,B,Null,B,Player B
1703834897.2236288,B,A,Null,A,Player A
1703290513.0681007,B,A,A,B,Player A
1703406219.402846,B,A,Null,B,Player B
1703316254.3140655,B,A,Null,A,Player B
1703951615.5284464,B,A,Null,B,Player B
1703967099.693116,B,A,A,B,Player A
1703731196.697658,B,B,Null,B,Player A
1703522619.71198,B,A,A,B,Player A
1703408219.6063468,B,A,Null,B,Player B
1703218973.497501,B,A,A,B,Player A
1703187377.9579213,A,A,Null,B,Player A
1703416562.8276527,B,A,B,B,Player A
1703232357.588807,B,A,A,B,Player A
1703931524.8580275,B,A,Null,B,Player B
1703510459.3714068,B,A,Null,B,Player A
1703579981.013809,B,B,Null,B,Player A
1703934778.0950453,B,A,Null,B,Player B
1703628236.899109,B,B,Null,B,Player B
1703641677.1747868,B,A,Null,B,Player B
1704113247.4045904,B,A,Null,B,Player B
1703470548.1326554,B,A,B,B,Player B
1703399035.4931467,B,A,A,B,Player B
1703658354.4781108,B,A,Null,B,Player A
1704138336.4446967,B,B,Null,B,Player B
1704191647.6924686,B,A,Null,B,Player A
1704287996.6666813,B,A,Null,B,Player B
1704280255.5743606,B,A,Null,B,Player B
1703762984.3635721,B,A,B,B,Player B
1703750492.549152,B,B,Null,B,Player B
1703262721.7159078,B,B,Null,B,Player A
1704057105.8005717,B,A,Null,B,Player B
1703660181.0288985,B,B,Null,B,Player A
1703494863.768464,B,A,Null,B,Player A
1703445237.7812724,B,A,Null,B,Player A
1703435894.542447,B,B,Null,B,Player A
1703109399.2832024,B,A,Null,B,Player B
1704278049.170629,B,B,Null,B,Player B
1703759658.1882734,B,B,Null,B,Player B
1703954809.5980268,B,A,Null,B,Player A
1703512593.1269312,B,A,A,B,Player B
1702863708.0193913,B,A,Null,B,Player B
1703895848.5866513,B,A,Null,B,Player A
1703804871.0841186,B,A,Null,B,Player A
1704191005.8939328,B,A,Null,B,Player A
1704195670.5541694,B,B,Null,B,Player B
1703841960.9364355,B,A,Null,A,Player B
1703060054.380582,B,A,Null,B,Player B
1704123057.7333887,B,A,A,B,Player A
1704354724.697786,A,A,Null,B,Player A
1704035153.997852,B,A,A,B,Player A
1703778133.267451,A,A,Null,B,Player B
1704026091.6027691,A,A,Null,B,Player A
1703458002.1217399,B,A,Null,A,Player A
1704246849.5925922,B,A,Null,A,Player A
1703514643.0839458,B,B,Null,B,Player B
1704279526.2382514,B,A,B,B,Player A
1703398436.8958533,B,A,Null,A,Player B
1703529617.5547361,B,A,A,B,Player B
1702850981.930795,B,A,Null,B,Player A
1703886098.6149373,B,A,Null,B,Player A
1702958216.6788166,B,A,Null,A,Player B
1703392083.6368237,B,A,Null,B,Player A
1703305303.4055548,B,A,Null,B,Player A
1703219760.8307962,A,A,Null,B,Player A
1703366952.2793539,B,A,Null,B,Player B
1703046270.1506977,B,A,Null,A,Player A
1704044160.8143353,B,A,Null,B,Player B
1703283059.3197174,B,A,A,B,Player B
1703634332.3398342,B,A,Null,B,Player B
1703216030.1682096,B,B,Null,B,Player B
1702909583.4282055,B,A,Null,A,Player B
1703870816.756439,B,A,Null,B,Player B
1702976140.3441536,B,A,B,B,Player A
1702779543.2437036,B,B,Null,B,Player B
1704203579.2028594,B,A,A,B,Player A
1703529856.8412373,B,A,Null,B,Player B
1703645585.6520362,B,A,Null,B,Player A
1703069515.202122,B,A,Null,A,Player A
1702871090.4163606,B,A,Null,B,Player B
1703649641.8365762,B,A,Null,B,Player A
1702794254.0320668,B,A,Null,B,Player B
1703788831.01438,B,A,A,B,Player A
1703939675.3330564,B,A,Null,B,Player B
1703476827.4989612,B,B,Null,B,Player A
1703409104.8581436,B,A,B,B,Player A
1703620229.319634,B,B,Null,B,Player A
1703427113.5546021,B,A,A,B,Player B
1703416088.6174111,B,A,Null,A,Player A
1703257055.0571187,B,A,A,B,Player A
1703852280.034424,A,A,Null,B,Player B
1703770491.2108014,B,A,A,B,Player A
1703082805.9589891,B,A,Null,B,Player B
1704208822.8389099,B,A,Null,A,Player B
1703654182.8250036,B,A,B,B,Player B
1702868907.6143017,B,A,Null,B,Player B
1703570162.9454331,B,A,Null,B,Player A
1704262007.0957718,B,B,Null,B,Player A
1702970630.5719547,B,B,Null,B,Player B
1704076143.1619754,B,B,Null,B,Player A
1703593003.346471,B,A,Null,B,Player B
1703229144.88282,A,A,Null,B,Player B
1702850568.7898111,B,A,Null,A,Player A
1702784612.4993236,B,B,Null,B,Player B
1703893586.550709,B,A,B,B,Player B
1703532799.0268013,A,A,Null,B,Player B
1704263856.8070288,B,A,Null,A,Player A
1704330724.4436545,B,A,B,B,Player A
1703734061.3209836,B,B,Null,B,Player A
1704333220.4618497,B,A,Null,B,Player B
1704208001.317697,B,A,Null,B,Player B
1703237078.3958972,B,B,Null,B,Player B
1704160300.1580794,B,A,B,B,Player B
1704011817.864765,B,A,A,B,Player A
1702886824.5803607,B,A,B,B,Player B
1703804282.8136241,B,A,B,B,Player A
1703089803.4423046,B,A,Null,B,Player B
1704130180.480035,B,A,Null,B,Player A
1703166309.247115,B,A,Null,B,Player B
1703793529.7727504,B,A,Null,B,Player B
1702919025.6584058,B,B,Null,B,Player B
1703332338.9256124,B,A,Null,B,Player B
1702894333.1885834,B,A,A,B,Player B
1703787003.663385,B,B,Null,B,Player B
1703661198.7728488,B,A,Null,A,Player B
1703744778.595452,B,B,Null,B,Player B
1704340569.8180294,B,B,Null,B,Player B
1703017658.3976429,B,B,Null,B,Player B
1703464923.891349,B,B,Null,B,Player B
1703925818.8085394,B,B,Null,B,Player B
1703336388.87353,B,A,Null,B,Player B
1704103332.460604,B,A,Null,B,Player B
1703383625.6272871,B,A,Null,B,Player A
1703720766.1327646,A,A,Null,B,Player B
1704259182.8826308,A,A,Null,B,Player A
1703390177.8361077,A,A,Null,A,Player B
1704002901.7961597,B,A,Null,B,Player B
1703890149.1256537,B,A,Null,B,Player B
1703787632.5637403,B,B,Null,B,Player B
1702642539.8782628,B,A,Null,B,Player A
1704024694.0019665,B,B,Null,B,Player B
1702871352.043536,B,B,Null,B,Player A
1703337214.5723014,B,B,Null,B,Player B
1702932349.0828142,B,A,Null,B,Player B
1704331319.567956,B,A,A,B,Player B
1704137072.367243,B,B,Null,B,Player B
1703059153.9948316,B,A,A,B,Player A
1703989169.713103,B,B,Null,B,Player B
1703670941.4901211,B,A,Null,A,Player A
1703766228.4660165,B,A,B,B,Player A
1703796372.8624656,B,B,Null,B,Player B
1703192283.2521892,B,B,Null,B,Player A
1703178963.8010466,B,A,Null,A,Player B
1703979888.6284616,B,A,B,B,Player B
1703795036.0135086,B,A,Null,B,Player B
1702818812.432757,B,A,Null,B,Player A
1703262256.7553973,B,A,Null,B,Player A
1704030700.0490232,B,A,B,B,Player A
1704079634.0247734,B,B,Null,B,Player A
1703913796.1520886,B,A,Null,B,Player B
1703350017.6703658,B,A,A,B,Player B
1704187942.350747,B,A,B,B,Player A
1702838961.9158862,B,A,Null,B,Player A
1703237646.2732441,B,A,B,B,Player B
1703868729.53624,B,A,Null,B,Player B
1704209747.506061,B,B,Null,B,Player A
1703380348.7474124,A,A,Null,B,Player A
1703743513.5529819,A,A,Null,B,Player B
1703576345.551916,B,B,Null,B,Player B
1703831442.016619,B,A,Null,B,Player A
1704257002.8680394,B,A,B,B,Player B
1703450893.7417176,B,A,A,B,Player A
1702959037.8217688,B,A,Null,A,Player A
1703752488.8216765,B,A,B,B,Player A
1704084599.3955233,A,A,Null,A,Player B
1703669461.239557,B,A,Null,B,Player A
1703008982.5506637,B,A,Null,B,Player B
1704047343.030484,B,A,Null,B,Player B
1703359154.695562,B,A,Null,B,Player A
1703176463.6299872,B,B,Null,B,Player A
1703079463.7645357,B,A,Null,B,Player A
1703107604.0207992,B,A,B,B,Player A
1704157974.3910036,B,B,Null,B,Player B
1702693362.3284009,B,A,B,B,Player B
1703645405.8721063,B,B,Null,B,Player A
1703162325.8115811,B,A,Null,A,Player A
1703238145.4105494,B,B,Null,B,Player A
1702825910.5543604,B,A,Null,B,Player B
1704266973.7401466,B,A,Null,A,Player B
1702874782.8218687,B,A,B,B,Player B
1704197618.1418557,B,A,Null,B,Player B
